JURISDIC_2,LAT,LON
King,+47.493554°,–121.832375°
Kitsap,+47.639687°,–122.649636°
Kittitas,+47.124444°,–120.676714°
Klickitat,+45.869509°,–120.780117°
Lewis,+46.580071°,–122.377444°
Lincoln,+47.582718°,–118.417668°
Mason,+47.354126°,–123.173850°
Okanogan,+48.550971°,–119.691035°
Pacific,+46.556587°,–123.782419°
Pend Oreille,+48.543877°,–117.232183°
Pierce,+47.040716°,–122.144709°
San Juan,+48.508862°,–123.100616°
Skagit,+48.493066°,–121.816278°
Skamania,+46.024782°,–121.953227°
Snohomish,+48.054913°,–121.766412°
Spokane,+47.620379°,–117.404392°
Stevens,+48.390648°,–117.854897°
Thurston,+46.932598°,–122.829441°
Wahkiakum,+46.294638°,–123.424458°
Walla Walla,+46.254606°,–118.480374°
Whatcom,+48.842653°,–121.836433°
Whitman,+46.903322°,–117.522962°
Yakima,+46.456558°,–120.740145°
