gbdRegion,neoMR,postneoMR,age1_5MR,under5MR
"Asia, South",56.029999,35.759998,34.66,121.33
"Sub-Saharan Africa, Central",37.330002,47.029999,56.93,134.83
"Europe, Central",3.6600001,8.3100004,3.24,15.14
"Europe, Western",2.98,1.42,0.46000001,4.8600001
North Africa / Middle East,2.4000001,0.5,0.090000004,2.98
"Latin America, Southern",8.1700001,3.8099999,0.94999999,12.88
"Asia, Central",11.57,5.75,2.1300001,19.35
Caribbean,8.2299995,4.04,1.58,13.8
Australasia,2.75,1.52,0.47999999,4.7399998
"Europe, Western",2.24,1.25,0.38999999,3.8900001
"Asia, Central",17.25,12.29,4.5700002,33.759998
"Sub-Saharan Africa, East",31.17,35.75,68.989998,130.25
"Europe, Western",2.24,1.6799999,0.43000001,4.3499999
"Sub-Saharan Africa, West",29.370001,30.65,44.240002,100.74
"Sub-Saharan Africa, West",31.57,38.740002,69.360001,133.64999
"Asia, South",31.290001,14.17,11.39,55.900002
"Europe, Central",5.3499999,4.1300001,1.27,10.72
North Africa / Middle East,4.6500001,2.05,0.68000001,7.3699999
Caribbean,9.2299995,4.71,1.9,15.77
"Europe, Central",4.52,2.6199999,0.76999998,7.8899999
"Europe, Eastern",5.71,3.5799999,1.1900001,10.45
Caribbean,12.95,7.0100002,2.9200001,22.73
"Latin America, Andean",19.309999,17.120001,10.98,46.68
"Latin America, Tropical",10.11,8.1599998,1.72,19.879999
Caribbean,6.3899999,3.0599999,1.1799999,10.6
"Asia Pacific, High Income",4.3299999,2.23,0.93000001,7.4699998
"Asia, South",30.07,14.55,10.35,54.080002
"Sub-Saharan Africa, Southern",19.799999,16.280001,13.85,49.119999
"Sub-Saharan Africa, Central",41.220001,50.18,53.52,138.06
"North America, High Income",2.9200001,1.49,0.46000001,4.8699999
"Europe, Western",2.6199999,1.16,0.44,4.21
"Latin America, Southern",3.8199999,2.0999999,0.56999999,6.48
"Asia, East",9.4399996,4.6799998,1.34,15.4
"Sub-Saharan Africa, West",36.599998,35.619999,39.200001,107.33
"Sub-Saharan Africa, West",33.75,33.669998,51.5,114.37
"Sub-Saharan Africa, Central",32.610001,47.099998,57.459999,131.14
"Sub-Saharan Africa, Central",29.700001,37.689999,44.200001,107.53
"Latin America, Central",8.5799999,5,1.8099999,15.31
"Sub-Saharan Africa, East",29.219999,20.469999,13.1,61.540001
"Sub-Saharan Africa, West",12.99,9.3900003,10.31,32.330002
"Latin America, Central",5.3099999,2.95,0.44999999,8.6899996
Caribbean,2.8399999,1.74,0.68000001,5.25
"Europe, Western",1.73,0.83999997,0.28,2.8399999
"Europe, Central",2.45,1.25,0.44,4.1300001
"Europe, Western",2.53,1.22,0.40000001,4.1399999
"Sub-Saharan Africa, East",22.41,23.280001,22.51,66.650002
Caribbean,9.7399998,4.8499999,2.01,16.530001
"Europe, Western",2.5,1.17,0.43000001,4.0900002
Caribbean,14.85,8.1400003,4.7399998,27.5
North Africa / Middle East,11.8,5.5999999,2,19.309999
"Latin America, Andean",6.0500002,10.94,4.1399999,20.99
North Africa / Middle East,14.35,7.52,3,24.700001
"Sub-Saharan Africa, East",22.15,21.809999,36.310001,78.199997
"Europe, Western",2.3,1.11,0.36000001,3.76
"Europe, Eastern",3.28,2.21,0.79000002,6.27
"Sub-Saharan Africa, East",34.950001,33.52,36.150002,101.02
"Europe, Western",1.88,0.82999998,0.30000001,3
Oceania,14.49,8.75,3.5699999,26.6
"Europe, Western",2.0599999,1.39,0.41,3.8599999
Oceania,14.1,8.3100004,3.45,25.67
"Sub-Saharan Africa, Central",25.58,20.889999,23.389999,68.260002
"Europe, Western",3.1099999,1.73,0.46000001,5.29
"Asia, Central",13.07,7.7399998,3.22,23.860001
"Sub-Saharan Africa, West",28.110001,19.25,32.209999,77.519997
"Sub-Saharan Africa, West",38.919998,41.189999,58.84,132.73
"Sub-Saharan Africa, West",25.809999,23.889999,33.27,80.730003
"Sub-Saharan Africa, West",43.349998,46.950001,77.150002,158.61
"Sub-Saharan Africa, Central",44.349998,63.619999,83.779999,180.13
"Europe, Western",2.4000001,0.99000001,0.27000001,3.6600001
Caribbean,6.9499998,3.3599999,1.33,11.59
"Latin America, Central",10.19,16.16,5.8800001,31.91
Caribbean,20.709999,12.33,5.3899999,38
"Latin America, Central",11.44,7.0100002,4.29,22.58
"Europe, Central",3.75,1.26,0.43000001,5.4299998
Caribbean,30.379999,39.18,36.790001,102.64
"Europe, Central",3.4400001,1.5700001,0.50999999,5.5100002
"Asia, Southeast",17.76,12.45,6.7800002,36.57
"Asia, South",34.34,15.88,13.6,62.599998
"Europe, Western",2.53,1.24,0.38999999,4.1599998
North Africa / Middle East,17.059999,9.9899998,4.3800001,31.129999
North Africa / Middle East,17.25,10.12,4.48,31.549999
"Europe, Western",1.61,0.75999999,0.25999999,2.6400001
"Europe, Western",2.6800001,1.48,0.52999997,4.6799998
"Europe, Western",2.3199999,0.74000001,0.27000001,3.3299999
Caribbean,10.64,5.5799999,2.25,18.379999
North Africa / Middle East,9.4399996,3.5799999,1.14,14.11
"Asia Pacific, High Income",1.5,1.28,0.54000002,3.3099999
"Asia, Central",15.31,12.24,4.0999999,31.35
