Number,Questions,Answers_from_NRA,Available_answers,proportion_answers
1,WHO PQ,44,,95.65217391
2,Does the country Uses its own NRA or external/third-party NRA ?,44,,95.65217391
3,Name of regulatory body,46,,100
4,Dossier format/guideline for product registration?,40,,86.95652174
5,Local safety or efficacy data required in registration dossier,34,,73.91304348
6,GMP requirments,44,,95.65217391
7,GMO requirments,23,,50
8,Samples requirments?,38,,82.60869565
9,CPR procedure,35,,76.08695652
10,Company . Registration ?,36,,78.26086957
11,Time process registration?,29,,63.04347826
12,Expidited.Process ?,25,,54.34782609
13,China products?,17,,36.95652174
14,Emergency licence Use?,8,,17.39130435
15,Meeting NRA prior licensure?,0,,0
16,Fees ?,12,,26.08695652
17,Website ?,43,,93.47826087
