iso,year,pop,pop0_14,pop15_64,pop65,popFemale,enrollAll,enrollFemale,enrollMale,natIncomeGrowth,natIncome2005,natIncomeCurrent,prcp,birthRate,birthAttend,deathCom,deathInjury,deathNonCom,externalResources,gdp2005,gdpCurrent,gini,hExpPerCapCurrent,hExpPerCap2005,hExpPrivateGdp,hExpPublicGdp,hExpPublicGovt,hExpPublicTotal,hExpTotal,beds,oopPrivate,oopTotal
"AFG",1970,11015621,45.247425,52.395348,2.3572252,49.259083,,,,,,1.646e+09,,52.4,,,,,,,1.749e+09,,,,,,,,,.199,,
"AFG",1971,11323446,45.446465,52.201679,2.3518372,49.267193,,,,,,1.721e+09,,52.285,,,,,,,1.831e+09,,,,,,,,,,,
"AFG",1972,11644377,45.626289,52.026546,2.3471673,49.275352,,,,,,1.499e+09,327,52.156,,,,,,,1.596e+09,,,,,,,,,,,
"AFG",1973,11966352,45.788322,51.869862,2.3418248,49.28125,,,,,,1.624e+09,,52.02,,,,,,,1.733e+09,,,,,,,,,,,
"AFG",1974,12273589,45.936489,51.729637,2.3338649,49.282089,25.36078,8.18091,41.30319,,,1.978e+09,,51.884,,,,,,,2.156e+09,,,,,,,,,,,
"AFG",1975,12551790,46.074886,51.603024,2.3220911,49.276104,,,,,,2.186e+09,,51.759,,,,,,,2.367e+09,,,,,,,,,,,
"AFG",1976,12806810,46.201859,51.491268,2.3068585,49.263416,,,,,,2.367e+09,,51.657,,,,,,,2.556e+09,,,,,,,,,,,
"AFG",1977,13034460,46.31892,51.392525,2.2885261,49.244793,,,,,,2.702e+09,327,51.584,,,,,,,2.953e+09,,,,,,,,,,,
"AFG",1978,13199597,46.437912,51.296249,2.2658646,49.219978,,,,,,3.014e+09,,51.545,,,,,,,3.300e+09,,,,,,,,,,,
"AFG",1979,13257128,46.57502,51.188057,2.2369475,49.188385,,,,,,3.356e+09,,51.542,,,,,,,3.698e+09,,,,,,,,,,,
"AFG",1980,13180431,46.742908,51.056721,2.2003682,49.149311,,,,,,3.259e+09,,51.573,,,,,,,3.642e+09,,,,,,,,,,,
"AFG",1981,12963788,46.952766,50.89312,2.1541157,49.101444,,,,,,3.100e+09,,51.632,,,,,,,3.479e+09,,,,,,,,,.27559999,,
"AFG",1982,12634494,47.205364,50.696381,2.0982559,49.044361,,,,,,,327,51.708,,,,,,,,,,,,,,,,,,
"AFG",1983,12241928,47.488655,50.474998,2.0363622,48.979721,,,,,,,,51.793,,,,,,,,,,,,,,,,,,
"AFG",1984,11854205,47.776142,50.248463,1.9753749,48.911545,,,,,,,,51.881,,,,,,,,,,,,,,,,,,
"AFG",1985,11528977,48.04015,50.037319,1.9225297,48.844948,,,,,,,,51.97,,,,,,,,,,,,,,,,,,
"AFG",1986,11262439,48.274998,49.844894,1.8800724,48.781857,,,,,,,,52.061,,,,,,,,,,,,,,,,,,
"AFG",1987,11063107,48.48027,49.670937,1.8487844,48.724659,,,,,,,327,52.156,,,,,,,,,,,,,,,,.3091,,
"AFG",1988,11013345,48.629757,49.535976,1.834311,48.682056,,,,,,,,52.254,,,,,,,,,,,,,,,,,,
"AFG",1989,11215323,48.69239,49.46545,1.8421761,48.664787,,,,,,,,52.35,,,,,,,,,,,,,,,,,,
"AFG",1990,11731193,48.658821,49.468575,1.8726058,48.677845,,,,,,,,52.449,,,,,,,,,,,,,,,,.2498,,
