iso,longName,region,income
"AFG","Islamic State of Afghanistan","South Asia","Low income"
"AGO","People's Republic of Angola","Sub-Saharan Africa","Upper middle income"
"ALB","Republic of Albania","Europe & Central Asia","Upper middle income"
"AND","Principality of Andorra","Europe & Central Asia","High income: nonOECD"
"ARE","United Arab Emirates","Middle East & North Africa","High income: nonOECD"
"ARG","Argentine Republic","Latin America & Caribbean","Upper middle income"
"ARM","Republic of Armenia","Europe & Central Asia","Lower middle income"
"ATG","Antigua and Barbuda","Latin America & Caribbean","High income: nonOECD"
"AUS","Commonwealth of Australia","East Asia & Pacific","High income: OECD"
"AUT","Republic of Austria","Europe & Central Asia","High income: OECD"
"AZE","Republic of Azerbaijan","Europe & Central Asia","Upper middle income"
"BDI","Republic of Burundi","Sub-Saharan Africa","Low income"
"BEL","Kingdom of Belgium","Europe & Central Asia","High income: OECD"
"BEN","Republic of Benin","Sub-Saharan Africa","Low income"
"BFA","Burkina Faso","Sub-Saharan Africa","Low income"
"BGD","People's Republic of Bangladesh","South Asia","Low income"
"BGR","Republic of Bulgaria","Europe & Central Asia","Upper middle income"
"BHR","Kingdom of Bahrain","Middle East & North Africa","High income: nonOECD"
"BHS","Commonwealth of The Bahamas","Latin America & Caribbean","High income: nonOECD"
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"BLR","Republic of Belarus","Europe & Central Asia","Upper middle income"
"BLZ","Belize","Latin America & Caribbean","Upper middle income"
"BOL","Plurinational State of Bolivia","Latin America & Caribbean","Lower middle income"
"BRA","Federative Republic of Brazil","Latin America & Caribbean","Upper middle income"
"BRB","Barbados","Latin America & Caribbean","High income: nonOECD"
"BRN","Brunei Darussalam","East Asia & Pacific","High income: nonOECD"
"BTN","Kingdom of Bhutan","South Asia","Lower middle income"
"BWA","Republic of Botswana","Sub-Saharan Africa","Upper middle income"
"CAF","Central African Republic","Sub-Saharan Africa","Low income"
"CAN","Canada","North America","High income: OECD"
"CHE","Switzerland","Europe & Central Asia","High income: OECD"
"CHL","Republic of Chile","Latin America & Caribbean","High income: OECD"
"CHN","People's Republic of China","East Asia & Pacific","Upper middle income"
